id,first_name,second_name,web_name,team_name,pos,now_cost,selected_by_percent,status,chance_of_playing_next_round,total_points,minutes,goals_scored,assists,clean_sheets,creativity,influence,threat,ict_index
1,David,Raya Martín,Raya,Arsenal,GKP,55,17.8,a,,142,3420,0,0,13,10.7,755.4,0.0,76.7
2,Kepa,Arrizabalaga Revuelta,Arrizabalaga,Arsenal,GKP,45,1.0,a,,106,2790,0,0,8,10.4,744.4,4.0,75.8
3,Karl,Hein,Hein,Arsenal,GKP,40,0.6,a,,0,0,0,0,0,0.0,0.0,0.0,0.0
4,Tommy,Setford,Setford,Arsenal,GKP,40,0.2,a,,0,0,0,0,0,0.0,0.0,0.0,0.0
5,Gabriel,dos Santos Magalhães,Gabriel,Arsenal,DEF,60,21.6,a,,117,2363,3,2,10,208.8,584.6,287.0,108.2
6,William,Saliba,Saliba,Arsenal,DEF,60,14.0,a,,130,3039,2,0,12,150.1,672.6,116.0,94.2
7,Riccardo,Calafiori,Calafiori,Arsenal,DEF,55,0.6,a,,39,978,2,1,1,118.2,252.6,176.0,54.6
8,Jurriën,Timber,J.Timber,Arsenal,DEF,55,2.2,a,,114,2415,1,3,11,296.8,393.0,254.0,94.2
9,Jakub,Kiwior,Kiwior,Arsenal,DEF,55,0.1,a,,43,1117,1,0,3,91.3,267.2,32.0,39.2
10,Myles,Lewis-Skelly,Lewis-Skelly,Arsenal,DEF,55,5.4,a,,37,1362,1,0,5,170.7,176.0,57.0,40.0
11,Benjamin,White,White,Arsenal,DEF,55,0.9,a,,50,1195,0,2,5,162.6,247.6,100.0,51.0
12,Oleksandr,Zinchenko,Zinchenko,Arsenal,DEF,50,0.3,a,,40,518,0,1,4,92.8,83.4,66.0,24.1
13,Brayden,Clarke,Clarke,Arsenal,DEF,40,0.6,a,,0,0,0,0,0,0.0,0.0,0.0,0.0
14,Maldini,Kacurri,Kacurri,Arsenal,DEF,40,0.2,a,,0,0,0,0,0,0.0,0.0,0.0,0.0
15,Josh,Nichols,Nichols,Arsenal,DEF,40,0.2,a,,0,0,0,0,0,0.0,0.0,0.0,0.0
16,Bukayo,Saka,Saka,Arsenal,MID,100,15.1,a,,127,1724,6,11,7,842.8,606.0,830.0,227.9
17,Martin,Ødegaard,Ødegaard,Arsenal,MID,80,3.3,a,,116,2321,3,9,11,968.7,524.6,493.0,198.8
18,Noni,Madueke,Madueke,Arsenal,MID,70,1.6,a,,120,2028,7,5,6,475.1,479.2,998.0,195.3
19,Gabriel,Martinelli Silva,Martinelli,Arsenal,MID,70,1.4,a,,125,2284,8,4,10,587.8,559.8,912.0,206.1
20,Leandro,Trossard,Trossard,Arsenal,MID,70,1.5,a,,152,2546,8,8,11,617.6,609.0,798.0,202.1
