rank,pos,player,name,team_name,total_points,points_per_game,minutes,goals_scored,assists,clean_sheets,saves,ict_index,now_cost,status,selected_by_percent
1,GK,Pickford,Jordan Pickford,Everton,158,4.2,3420,0,1,12,122,107.0,55,a,12.1
2,GK,Sels,Matz Sels,Nott'm Forest,150,3.9,3420,0,1,13,120,96.7,50,a,17.9
3,GK,Raya,David Raya Martín,Arsenal,142,3.7,3420,0,0,13,86,76.7,55,a,17.8
4,GK,Henderson,Dean Henderson,Crystal Palace,135,3.6,3420,0,0,11,104,88.6,50,a,3.5
5,GK,Sánchez,Robert Lynch Sánchez,Chelsea,126,3.9,2880,0,0,10,95,77.5,50,a,15.9
6,GK,Leno,Bernd Leno,Fulham,115,3.0,3420,0,2,5,110,98.6,50,a,1.7
7,GK,A.Becker,Alisson Becker,Liverpool,112,4.0,2508,0,0,10,78,64.0,55,a,11.0
8,GK,Ederson M.,Ederson Santana de Moraes,Man City,111,4.3,2320,0,4,10,54,60.9,55,a,3.7
9,GK,Arrizabalaga,Kepa Arrizabalaga Revuelta,Arsenal,106,3.4,2790,0,0,8,97,75.8,45,a,1.0
10,GK,Verbruggen,Bart Verbruggen,Brighton,103,2.9,3240,0,1,7,91,85.8,45,a,6.7
